Sector,"Employment <br><i style=""font-size:80%;"">May 2023</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,6,60,Annual Growth Rate,Unemployment Rate
Accommodation and Food Services,5.6,7.9,8.5,9.4,8.1,6.2,5.2,5.0,4.7,5.0,4.9,5.1,5.9,6.9,8.4,8.5,7.5,6.1,5.5,5.4,4.9,4.9,4.0,2.9,3.2,4.1,4.3,5.2,4.9,4.9,4.4,3.3,3.9,3.4,3.5,3.6,3.8,4.8,5.4,5.6,5.0,5.1,4.3,4.4,3.5,4.3,4.3,4.5,5.0,6.3,6.9,7.9,4.3,3.5,3.8,3.6,3.5,4.4,4.5,5.3,5.2,5.6,-6.650458939772319,5.084745762711873
Construction,7.3,6.6,6.8,6.7,6.8,6.6,6.3,5.7,4.9,5.2,5.7,5.6,6.4,6.9,7.1,7.3,7.4,7.6,7.0,6.9,6.4,6.0,5.8,5.1,6.6,7.6,7.2,7.0,6.4,5.8,5.8,5.8,5.6,5.3,5.7,5.4,5.5,5.7,6.0,5.7,6.0,6.3,6.2,6.5,6.6,6.6,6.6,6.5,7.6,7.8,8.1,7.7,6.9,7.6,7.3,6.8,6.1,6.3,6.7,6.6,6.3,7.3,2.0365544264411506,7.594936708860766
Digital Economy,6.9,6.4,6.800000000000001,7.0,6.600000000000001,6.1,5.699999999999999,5.4,5.5,5.9,6.2,6.4,6.5,5.7,5.9,6.199999999999999,6.6,6.199999999999999,6.3,6.4,7.300000000000001,7.1,7.199999999999998,7.0,6.7,6.800000000000001,6.200000000000001,6.3,6.0,6.0,6.1,5.9,6.700000000000001,6.1,6.3,6.9,7.199999999999999,7.6,7.6,7.799999999999999,6.4,6.299999999999999,7.0,7.1,7.3,8.1,9.1,8.3,8.200000000000001,8.600000000000001,9.0,7.699999999999998,8.4,6.8,6.1000000000000005,7.700000000000001,6.8,8.100000000000001,7.199999999999999,6.9,5.699999999999999,6.9,1.5158425192600689,4.166666666666652
Educational Services,6.6,5.5,4.1,4.0,5.4,5.7,5.6,5.5,5.5,5.6,5.7,5.3,5.6,5.8,4.5,3.8,5.3,5.5,5.7,5.8,6.0,6.1,5.6,5.5,5.7,5.7,4.4,4.4,6.0,6.0,6.2,6.6,6.6,6.6,6.6,6.6,6.8,7.0,5.0,5.0,6.1,6.0,5.9,6.2,5.9,6.0,5.9,6.0,6.2,6.4,4.5,4.9,5.9,6.0,6.3,6.6,6.5,6.6,7.0,7.3,5.6,6.6,3.713728933664817,1.4925373134328401
Health Care and Social Assistance,14.5,10.1,9.7,9.5,9.6,9.9,9.8,10.0,10.1,10.2,10.4,10.4,10.8,10.9,10.9,11.0,10.9,11.1,10.9,11.1,10.9,10.9,10.5,9.6,10.3,10.8,11.2,10.9,10.4,10.3,10.5,10.8,10.6,10.6,10.4,10.3,11.3,11.8,12.3,11.9,11.6,11.3,11.5,11.9,11.5,11.6,11.5,11.3,11.9,12.6,12.0,12.4,12.0,12.6,12.5,12.4,12.9,13.4,14.1,13.7,9.8,14.5,7.500213230356945,2.0270270270270285
Manufacturing,9.1,7.5,7.1,7.3,7.5,7.4,6.5,6.3,6.3,6.4,6.0,6.3,7.4,7.4,7.0,7.0,6.7,6.4,6.1,6.2,5.9,6.2,6.0,5.7,6.3,6.8,6.9,7.1,7.5,7.3,6.8,6.7,6.6,6.8,6.5,6.1,7.4,6.9,6.7,6.7,7.0,7.6,8.7,8.5,7.6,7.7,7.9,8.2,9.1,9.2,8.5,9.6,9.0,9.7,7.4,8.2,7.3,8.0,7.7,8.0,6.5,9.1,3.9431863299439485,4.210526315789476
Other Services,3.8,3.0,3.3,3.3,3.2,3.1,3.2,3.2,3.1,3.2,3.2,3.4,3.2,3.1,3.2,3.0,3.1,3.2,3.4,3.4,3.5,3.3,3.3,3.0,3.0,3.5,3.4,3.1,2.9,2.7,2.5,2.3,2.1,2.3,2.5,3.1,3.4,3.4,3.5,3.7,3.5,3.5,3.7,3.7,3.6,4.0,3.8,3.4,3.6,3.5,3.4,3.3,3.4,3.6,3.7,3.7,3.1,3.6,3.4,4.0,3.2,3.8,4.841317128472156,15.555555555555555
"Professional, Scientific and Technical Services",5.1,3.7,3.7,4.0,3.8,3.8,3.5,3.4,3.4,3.3,3.5,3.4,3.5,3.8,3.7,3.9,3.6,3.7,4.1,4.1,4.2,4.0,4.2,3.7,3.6,4.1,4.1,4.6,4.1,4.5,4.3,3.9,3.9,3.9,4.2,4.3,4.3,4.3,4.2,4.3,4.3,4.2,4.1,4.5,4.7,5.2,5.3,5.3,4.7,5.2,5.1,4.7,4.7,4.7,4.5,4.5,5.0,4.4,4.3,4.3,3.5,5.1,6.628595902634737,5.55555555555557
"Total, All Industries",92.8,82.9,82.1,82.5,80.5,79.1,76.1,74.3,72.6,73.4,74.2,75.0,81.9,84.6,85.2,85.1,83.1,81.9,78.9,78.7,77.3,76.9,72.8,66.5,74.8,81.2,80.4,83.0,79.6,78.4,76.3,74.6,73.4,73.1,74.6,75.2,82.0,84.8,84.4,84.9,82.4,81.7,81.1,80.8,76.9,78.8,79.8,80.2,89.1,92.5,89.3,90.4,84.3,86.5,81.1,81.7,79.7,81.1,82.9,85.1,76.1,92.8,2.2818769672480643,5.977710233029388
