Secteur,"Emploi <br><i style=""font-size:80%;"">Février 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,36700.0,36.2,26.0,28.4,37.2,40.1,40.2,38.4,37.2,28.1,27.3,27.5,29.8,30.6,33.0,31.2,30.3,35.9,37.1,37.7,35.7,35.3,35.9,36.5,38.1,39.2,40.9,39.7,41.3,39.6,37.5,35.9,37.4,37.0,36.0,38.0,38.5,40.2,39.9,43.3,40.3,38.1,37.8,35.8,36.8,35.4,35.7,33.8,33.4,33.7,34.7,34.5,34.5,38.1,35.8,37.1,39.6,38.4,38.2,36.7,36.7,0.27472941607240564,3.421052631578936
Construction,54800.0,45.0,40.7,45.9,52.3,51.9,53.6,52.6,53.5,48.1,47.6,45.9,44.7,45.7,48.6,52.9,53.4,56.8,54.1,53.9,53.8,50.1,47.8,50.3,48.9,48.9,49.2,52.3,52.1,55.5,56.4,54.6,56.1,55.3,55.4,52.7,53.2,54.2,55.4,59.5,59.7,63.6,64.6,59.9,60.2,57.6,58.8,61.1,57.9,55.2,55.1,56.2,56.5,59.2,59.1,59.4,59.5,55.9,53.1,53.7,54.8,4.019223855574294,10.894308943089436
L'économie numérique,58900.0,41.39999999999999,41.7,45.7,45.5,49.1,51.2,50.8,46.4,44.8,47.6,46.3,45.1,45.4,49.7,47.00000000000001,47.3,49.6,52.3,52.5,51.2,53.4,53.2,51.1,49.2,48.7,47.5,44.99999999999999,49.1,51.1,49.900000000000006,50.50000000000001,54.0,58.0,55.1,49.7,52.0,54.4,55.8,53.0,58.10000000000001,57.79999999999999,58.6,60.2,59.1,57.3,59.8,58.60000000000001,58.3,55.0,55.500000000000014,57.3,52.5,54.60000000000001,55.400000000000006,52.3,52.8,52.3,53.6,55.5,58.9,7.305749107393544,3.4426229508196737
Services d'enseignement,67100.0,55.3,53.6,50.7,50.3,40.1,42.0,61.5,60.3,59.8,59.4,59.7,61.5,59.6,61.7,61.8,60.8,42.3,42.4,60.3,64.3,66.6,67.6,63.9,69.0,67.0,66.1,67.0,67.1,50.4,45.8,67.7,68.8,66.6,67.2,69.8,68.8,70.1,69.4,69.3,69.9,52.1,48.8,65.4,69.6,69.1,69.1,68.1,68.2,66.8,65.6,67.8,69.3,48.7,48.4,67.8,68.3,68.1,68.2,68.3,67.1,3.944012524995544,0.2971768202080227
Soins de santé et assistance sociale,120900.0,102.3,93.4,92.6,97.2,101.5,101.8,101.9,101.3,101.3,99.6,99.8,102.8,104.6,103.6,107.2,105.1,109.5,108.9,104.1,105.7,105.4,105.1,104.5,106.5,103.9,105.0,106.0,106.3,104.5,103.7,102.6,102.9,102.2,102.1,103.0,105.5,104.1,103.8,105.4,103.8,107.7,108.2,110.0,109.9,113.0,109.4,109.3,111.4,111.7,112.4,114.3,115.9,117.1,118.0,115.9,115.6,118.2,116.9,119.3,120.9,3.3975226531950176,2.7353177795655603
Fabrication,71500.0,61.9,57.9,57.5,58.3,60.2,60.7,62.3,62.2,64.2,62.8,64.6,66.2,65.5,67.5,67.0,67.7,67.4,67.1,66.2,66.3,64.4,66.7,66.7,69.1,68.5,69.6,69.2,71.4,72.9,73.0,69.4,70.4,69.5,70.2,69.3,69.0,67.9,67.5,68.9,68.2,70.1,71.0,71.3,72.2,75.6,74.6,74.4,71.3,72.3,72.6,74.0,70.9,71.3,71.6,69.0,71.9,71.7,70.7,73.2,71.5,2.9255220713015673,2.188782489740071
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",5800.0,4.3,2.9,3.9,4.3,4.4,4.1,4.0,3.8,3.4,5.4,4.5,4.5,4.1,3.5,3.0,3.6,4.2,4.7,4.2,4.0,3.6,3.7,3.5,3.7,2.9,2.9,4.7,5.5,4.7,4.9,5.3,5.7,5.1,4.9,6.9,6.4,5.8,5.4,5.7,5.7,6.0,5.4,6.4,5.5,5.2,5.2,5.4,5.1,4.4,5.8,5.6,6.6,6.4,6.9,5.8,5.3,7.0,6.3,5.9,5.8,6.167577433485083,1.6949152542372947
Autres services,28600.0,25.9,23.8,25.2,27.9,30.2,30.1,29.0,29.5,27.3,24.9,26.9,29.2,29.2,28.4,25.5,25.0,25.1,27.2,25.9,25.3,25.6,26.1,27.5,27.5,27.7,28.3,27.5,26.6,26.8,28.1,26.7,27.2,26.8,25.9,28.2,26.2,28.0,29.0,27.2,27.3,26.3,28.9,27.8,26.5,26.4,25.6,27.9,30.2,29.7,30.2,32.1,33.0,33.0,33.6,30.8,29.7,29.8,29.9,28.1,28.6,2.0030725441202657,2.7210884353741416
"Services professionnels, scientifiques et techniques",42600.0,31.0,28.1,29.9,30.5,32.3,31.7,30.6,31.0,30.3,30.0,31.0,31.5,32.8,32.5,31.7,32.6,34.3,34.4,31.9,31.0,30.9,31.7,31.6,31.5,31.8,33.8,35.8,37.5,39.5,38.1,37.0,37.0,36.7,35.9,34.2,35.2,36.7,36.7,37.7,37.2,38.2,35.9,34.0,36.4,36.3,36.4,36.3,35.0,34.9,34.5,36.6,37.8,37.7,38.4,37.4,36.2,38.6,39.0,39.6,42.6,6.563771113670858,0.0
Ensemble des industries,726700.0,633.1,572.5,597.0,631.9,638.6,646.7,661.8,658.8,636.5,628.6,626.9,644.8,649.7,659.6,670.2,668.1,671.6,668.8,677.0,678.9,675.2,677.7,674.3,685.2,678.3,681.6,694.6,701.1,691.9,683.7,688.3,695.5,689.8,691.0,685.1,692.7,699.2,695.1,718.8,722.6,707.5,707.3,713.0,715.4,711.4,713.1,715.3,711.0,707.4,710.8,735.6,742.5,723.5,728.4,730.9,731.9,732.1,723.8,722.1,726.7,2.7960837011012707,6.074705958381799
