Secteur,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Emploi,suffix,Taux_de_chômage
Ensemble des industries,2193800,2199200,2211600,2214400,2190800,2186400,2178400,2187300,2198700,2195400,2243100,2258500,2231100,2231300,2225100,2233500,2222100,2244900,2220200,2229000,2242300,2237900,2278500,2288000,2276400,2287800,2277700,2273400,2285600,2266900,2234500,2247400,2256800,2271600,2301600,2322700,2291300,2291500,2291200,2298900,2274800,2269600,2225400,2247200,2136400,1915200,1977200,2085500,2126400,2137700,2172900,2198300,2176600,2158200,2146400,2173300,2208500,2199400,2240400,2257500,2247500,2247500,,8.8678942
L'économie numérique,171800,177700.02,173299.98,166500,157300,160800,152400,158600,162100,168300,168200,178800,180900.02,170400.02,176400,174299.98,168100,178900.02,164500,168100,161000,161200.02,164000,163400,152200.02,157900,166400,161500,168600,159100,171100,164000,166500,169200,171000,169300,163100,158700,156700,160900,157700.02,170500,171100,165600,180200,187900,189500,210500,198300,203800,202300,198000,204200,177700,171600,166500,173600,183500,186799.98,189800,201400,201400,,1.4677104
Soins de santé et assistance sociale,264800,268100,260600,262300,263800,270900,273800,269900,271100,267500,270000,276500,270000,258299.98,259299.98,259299.98,257100,257200.02,262000,268000,267400,266800,266600,264300,267200,269000,265500,267600,278100,282800,278500,280500,280500,282800,283900,286100,281400,280100,287400,294300,294900,292700,294000,302200,279200,266200,268900,292300,294300,285800,288400,297900,298100,302400,305400,309100,309700,308200,303400,294300,293500,293500,,1.1118598
Administrations publiques,99700,103900,94700,95700,93500,95600,95700,94100,95200,94100,100300,105100,103800,106000,99400,98900,101600,101500,99600,98900,99300,105400,108600,111300,111800,111600,109600,111100,109800,102900,104800,109100,113500,116300,115900,117200,115200,117700,110700,111000,104600,100500,99000,99800,102100,104100,101200,104900,102500,102800,105200,103500,101000,99100,98100,96100,96100,97200,101400,104400,103800,103800,,2.7179008
Transport et entreposage,130000,123300,126800,128500,124900,127000,129500,132600,133000,130600.01,135100,131000,127800,132700,133900,132400,131400,136100,139600,138700,132700,133400,133600,133400,131700,133000,132700,134100,132500,135500,131700,133500,131800,135000,138800,138300,132800,135500,137300,135400,131300,127100,124100,125400,116500,103100,110900,112800,115600,119000,125300,131900,130000,128200,129000,129700,127700,121400,124900,120500,125600,125600,,1.7982799
Services d'enseignement,115800,120700,151200,155800,154600,153000,156300,156400,158400,158000,151900,157200,110300,113100,143600,153400,157400,161800,158500,165100,163500,159900,164100,158700,126600,129200,147400,154500,152100,155500,155200,157200,153100,152400,152400,156900,125200,128200,160600,159800,165100,168800,165500,162900,159900,147000,142300,135300,111300,116800,154300,156600,155800,160900,169400,168300,179800,172000,176800,180200,142100,142100,,8.0853815
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",119600,127100,128899.99,135100,132100,129100.01,130200,130600.01,127100,125600,128300,128500,134300,135800,137200,136900,136300,140400,143000,143900,141500,135700,136900,142400,146200,146600,145900,144700,145600,145900,145200,150000,145100,139900,138700,139200,135800,131800,131300,134400,133700,130899.99,132800,128700,132700,120400,118000,119200,121500,117800,121400,127300,131300,131400,138000,134000,137200,132400,138400,143300,146400,146400,,3.7475345
Services d'hébergement et de restauration,140400,145200,144300,141900,142600,140100,137800,138500,141000,140300,147400,147600,154500,158800,150100,142700,138200,143200,143300,141100,143000,141200,146900,141800,149600,148800,147000,143800,147700,144400,137300,138800,144700,139700,139700,144100,137600,140600,146300,150300,150900,153300,150900,149200,111300,75300,86500,99100,115100,119500,116400,114400,114000,104100,84000,103900,104300,98300,94600,127300,126800,126800,,4.0121121
Commerce de gros et de détail,320300,325200,324200,325900,335600,324100,325100,319400,326400,325900,328100,329100,336100,334100,327400,325900,337400,341900,325100,323900,328400,323400,325700,332000,335300,337100,323400,323400,327000,323500,322300,322000,320400,327700,339800,338500,338900,337000,323600,329100,328500,334700,320300,328300,303500,256600,270900,296800,307100,318200,310600,316800,322800,329900,322900,332500,336100,328000,332700,335500,333000,333000,,5.2361979
Construction,251700,247600,252300,248000,232700,232900,226600,227300,224800,228900,235700,236200,238100,245100,246000,245300,237800,233300,220200,222400,225500,231300,245000,248600,243400,248100,250700,246400,241900,227800,217700,220100,221000,219600,229600,237800,243100,248000,239400,239300,230500,226600,208100,207000,218100,185500,191100,211600,224700,229400,229000,228600,226300,209100,211400,210300,215200,216900,233800,224100,230400,230400,,4.8327136
