Secteur,"Emploi <br><i style=""font-size:80%;"">Mars 2025</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,431000.0,234.7,243.5,284.2,318.5,354.9,391.0,397.1,376.9,350.9,300.4,332.2,345.4,319.2,339.4,350.7,378.6,419.7,402.6,408.4,402.6,405.4,316.9,383.0,386.0,393.8,411.0,411.8,420.9,416.3,388.9,400.7,403.9,415.9,410.8,414.5,416.6,411.0,442.9,440.3,459.7,442.6,418.7,412.3,421.2,415.6,390.5,407.7,393.9,410.5,432.3,438.4,453.0,442.3,417.5,420.7,419.2,420.5,415.6,428.3,431.0,12.925711643935944,5.212227842533535
Agriculture,63600.0,65.2,67.5,69.8,69.9,70.5,71.5,68.2,67.4,68.7,60.1,59.7,62.6,69.3,74.5,73.5,72.4,73.2,60.5,67.4,65.8,61.0,60.8,62.3,63.9,67.9,75.8,77.8,78.7,79.9,70.8,74.3,76.2,79.0,73.5,70.2,74.2,72.6,75.4,77.1,88.5,85.2,80.3,81.7,77.7,71.6,68.5,67.1,66.0,64.6,72.8,76.3,78.6,78.4,72.5,75.5,70.2,70.2,70.5,66.8,63.6,-0.4956873669706874,5.497771173848431
"Services aux entreprises, services relatifs aux bâtiments et autres services de soutien",277400.0,272.9,269.4,287.5,295.6,296.0,282.4,276.4,278.8,254.9,250.6,254.9,254.0,262.4,283.6,286.4,306.2,302.0,295.3,287.9,291.4,283.4,266.8,279.4,271.7,266.5,278.1,294.1,300.3,297.3,290.5,283.3,279.7,282.9,271.4,266.8,277.8,280.3,281.6,294.7,299.8,288.7,283.8,271.1,286.6,270.2,270.4,257.0,268.6,273.4,293.2,297.6,307.3,302.7,300.9,318.0,303.0,296.8,282.7,282.7,277.4,0.3276371644070242,10.746460746460762
Construction,557300.0,448.7,482.3,549.0,554.2,560.3,552.7,548.1,553.7,546.6,510.1,506.9,508.3,529.0,542.5,559.6,561.7,566.8,564.2,555.8,567.7,545.8,539.2,552.4,559.0,582.8,592.4,605.7,618.6,614.1,604.5,595.0,598.7,598.3,567.2,574.3,581.3,603.5,623.7,630.4,631.1,634.1,615.4,610.0,611.2,583.1,557.1,560.8,581.0,576.0,587.5,585.8,589.4,594.2,583.6,585.7,577.8,567.3,553.2,560.6,557.3,4.430316612956409,9.499837609613515
L'économie numérique,1154499.9999999998,839.3,845.3,896.9,916.5999999999998,902.1,897.4000000000001,938.4,932.0,940.5000000000002,962.8,958.8,979.5,962.1,964.6,1001.1,1026.9,1038.5,1061.3000000000002,1071.4,1076.5,1049.1,1058.1,1036.0,1027.5,1040.3,1041.3,1075.0,1058.2,1069.9,1047.8,1037.1,1055.7,1091.6,1106.3,1092.8,1083.4,1101.6,1062.4,1095.6,1127.8000000000002,1144.4999999999998,1148.6,1145.1999999999998,1177.5,1157.9,1141.9999999999998,1167.6,1135.8000000000002,1155.6,1162.6,1182.8000000000002,1184.0,1162.6,1153.7000000000005,1127.6999999999998,1140.4,1142.9,1193.1999999999998,1198.5,1154.4999999999998,6.58481674260758,4.807058047493418
Services d'enseignement,625100.0,500.3,476.2,488.6,412.6,436.1,545.1,567.8,552.6,565.0,548.0,582.2,592.4,539.9,539.7,540.7,460.3,466.0,578.6,583.6,590.2,603.6,580.9,595.5,582.9,594.9,601.0,592.9,468.3,455.5,571.6,600.6,607.2,599.6,590.4,603.4,587.2,599.0,594.9,586.5,482.7,466.3,588.3,618.6,621.4,623.0,628.6,627.0,618.6,622.3,607.0,614.1,497.8,494.8,621.6,630.9,650.7,656.5,644.1,642.5,625.1,4.554757530758957,3.5785901588770486
Finance et assurances,537000.0,471.4,452.1,439.5,459.6,442.3,441.0,443.4,463.1,471.1,481.6,468.0,464.5,481.6,478.3,454.9,467.5,457.9,459.2,458.4,457.5,474.9,478.6,472.8,493.5,494.6,507.3,501.5,514.3,500.8,492.0,496.0,504.8,507.7,506.7,503.2,516.8,527.0,526.2,530.6,530.6,538.6,513.2,506.4,508.5,520.5,519.3,521.9,510.3,507.4,535.3,536.8,542.2,538.0,538.0,526.6,533.7,536.3,543.0,547.4,537.0,2.6400704605445746,2.6468455402465563
"Foresterie, pêche et chasse",5900.0,5.8,10.2,8.2,8.0,11.6,11.1,9.5,8.5,10.4,6.0,4.6,6.4,6.8,7.6,8.1,7.6,4.2,7.1,6.7,5.6,5.3,7.4,7.5,7.0,6.7,9.1,5.4,5.4,5.3,3.1,4.2,4.4,4.2,3.3,3.8,2.9,2.7,9.2,5.4,5.3,8.6,6.1,5.2,4.4,5.0,5.6,5.0,3.4,5.1,7.8,7.6,7.0,6.1,4.5,3.6,4.9,1.9,2.8,4.4,5.9,0.3424737731033467,0.0
Soins de santé et assistance sociale,1024599.9999999999,784.6,783.8,842.1,855.3,879.9,888.4,863.3,876.8,867.1,872.3,875.1,896.0,877.7,888.3,918.6,911.1,911.7,909.2,908.4,921.8,920.2,924.5,944.2,941.0,932.9,932.8,928.2,932.7,938.8,930.3,940.7,947.2,937.3,964.4,973.5,979.7,971.5,966.6,982.2,994.0,988.3,991.6,1002.4,985.2,973.9,973.3,977.8,999.9,996.5,1018.1,1022.1,1023.8,1029.9,1017.1,1015.7,1013.7,997.4,1017.5,1022.8,1024.6,5.4826931549024405,1.3764558667821891
Secteur des technologies de l'information et des communications,572300.0,420.9,409.9,440.8,447.4,453.0,459.2,494.2,476.7,498.1,490.8,494.5,505.1,470.4,476.6,502.0,498.1,516.0,530.7,536.5,530.7,523.5,508.6,508.5,497.1,480.4,498.7,521.3,506.6,517.5,509.5,494.0,511.1,528.2,531.4,504.0,512.8,516.6,504.6,525.6,515.6,546.8,555.2,554.0,572.8,563.6,555.8,551.2,544.2,552.3,530.2,554.2,568.3,566.2,562.6,540.4,553.6,548.7,603.1,601.0,572.3,6.33811659061454,5.933596318211709
