Secteur,"Emploi <br><i style=""font-size:80%;"">Septembre 2024</i>",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,Taux de croissance annuelle,Taux de chômage
Services d'hébergement et de restauration,1145200.0,1236.0,1222.2,1237.5,1186.3,1172.1,895.8,598.4,648.8,860.9,1001.6,1048.9,1053.7,1005.3,965.4,911.1,819.4,888.4,922.6,858.5,882.1,980.1,1038.8,1109.6,1050.9,1023.2,1022.3,1016.2,870.3,978.1,1010.6,1033.7,1062.1,1080.4,1122.8,1122.9,1072.4,1082.2,1076.9,1083.1,1071.3,1077.0,1092.4,1099.1,1145.3,1156.0,1211.0,1193.3,1148.2,1126.5,1113.6,1108.7,1053.9,1081.8,1072.1,1110.7,1156.2,1188.1,1212.8,1199.5,1145.2,-1.5144365940968685,5.907485005340551
Construction,1621400.0,1560.2,1538.6,1495.3,1400.2,1407.3,1379.9,1129.9,1298.0,1453.4,1477.8,1502.7,1498.2,1480.1,1453.9,1410.6,1348.3,1348.4,1368.0,1403.3,1454.0,1483.7,1533.9,1539.3,1518.7,1500.4,1475.9,1444.0,1385.2,1432.9,1452.2,1491.1,1577.0,1612.2,1656.8,1647.9,1613.0,1620.8,1584.6,1561.0,1504.2,1506.9,1507.3,1543.8,1624.0,1637.9,1629.7,1654.2,1608.8,1617.6,1611.1,1544.4,1474.8,1500.7,1527.5,1547.6,1582.1,1601.4,1644.2,1645.1,1621.4,0.7724875155449284,4.392947697387816
L'économie numérique,2422800.0,1859.8,1857.4,1879.6,1885.9,1896.7,1900.9,1799.7999999999995,1830.8,1909.0,1971.1,1973.3,2019.0,2059.8,2063.7,2040.0,2053.6000000000004,2007.6,2011.7000000000005,2058.6000000000004,2073.8,2128.5,2162.8,2180.9,2227.8,2216.9000000000005,2274.4,2217.8,2241.0000000000005,2248.0,2231.4,2233.6000000000004,2261.6000000000004,2339.6000000000004,2320.0,2318.0999999999995,2248.3,2216.3,2214.4,2254.0,2271.8,2255.0,2270.0000000000005,2281.3,2227.8,2302.5000000000005,2345.7,2358.7,2327.9,2347.1,2415.9,2389.0,2335.6000000000004,2385.7,2351.6000000000004,2372.5000000000005,2382.7000000000003,2406.2,2422.4000000000005,2409.4,2422.8,5.431470612395617,3.597007798822227
Services d'enseignement,1571700.0,1384.6,1409.0,1407.4,1402.5,1414.2,1264.7,1246.7,1253.8,1269.5,1062.7,1075.0,1410.7,1469.9,1473.5,1475.4,1447.5,1511.3,1528.0,1485.4,1471.3,1473.2,1195.0,1197.3,1485.9,1521.1,1525.5,1543.5,1515.1,1563.9,1536.9,1542.0,1544.3,1526.9,1210.2,1169.1,1471.3,1515.6,1530.7,1527.0,1532.2,1552.5,1530.2,1547.3,1548.9,1519.1,1230.3,1200.0,1534.6,1582.5,1583.2,1581.9,1609.6,1609.6,1594.4,1592.6,1576.7,1576.5,1268.9,1264.7,1571.7,2.567333526108273,1.9648203592814384
Soins de santé et assistance sociale,2837100.0,2502.5,2504.0,2508.7,2504.3,2507.0,2362.1,2228.1,2246.8,2395.9,2419.8,2421.7,2423.6,2430.6,2453.4,2436.6,2444.9,2452.9,2494.9,2485.6,2500.8,2541.6,2558.0,2539.8,2529.5,2546.9,2567.7,2572.4,2575.0,2597.1,2602.5,2580.8,2599.8,2600.8,2612.4,2616.8,2611.8,2630.9,2629.4,2587.2,2623.4,2641.7,2632.2,2622.0,2629.3,2663.1,2705.0,2701.8,2678.3,2693.3,2699.9,2711.0,2700.9,2715.4,2764.3,2771.2,2806.7,2818.0,2845.4,2862.8,2837.1,2.5416051668099904,1.7318416404004
Fabrication,1804600.0,1730.6,1708.9,1707.9,1705.2,1717.3,1682.5,1431.6,1545.7,1631.5,1680.2,1710.5,1728.2,1727.4,1732.4,1740.2,1710.5,1723.8,1733.4,1740.3,1752.4,1766.5,1752.4,1761.3,1739.2,1747.2,1772.1,1774.3,1752.2,1768.3,1772.2,1782.1,1784.8,1815.3,1830.2,1816.6,1765.0,1776.8,1780.4,1777.8,1762.7,1778.1,1778.0,1788.8,1832.9,1867.0,1882.1,1839.1,1803.0,1786.2,1822.0,1803.1,1777.4,1772.6,1784.9,1795.8,1830.0,1855.1,1853.7,1854.0,1804.6,0.8409319621336175,3.4405265129220486
"Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",308400.0,268.6,258.6,256.9,255.2,254.2,252.3,222.1,225.7,226.0,226.4,222.8,225.1,250.0,247.4,248.9,253.6,257.5,254.0,246.5,257.0,262.0,269.2,262.9,264.4,260.4,254.5,263.9,257.6,266.0,266.8,259.0,266.1,261.5,265.8,269.5,266.8,271.3,271.3,270.6,273.8,276.1,268.1,265.3,273.5,270.2,275.5,283.3,281.0,275.4,273.4,275.8,273.8,277.8,280.9,280.5,288.0,292.8,300.9,297.7,308.4,2.8020256412241373,2.5284450063211117
Autres services,783600.0,775.8,778.4,775.2,770.4,776.6,714.2,577.6,603.1,661.3,698.1,730.9,734.2,746.0,740.9,699.0,688.1,710.8,723.3,722.7,725.2,738.6,750.4,725.5,701.6,715.2,707.4,700.1,697.4,700.6,710.8,723.3,718.6,707.9,715.8,721.2,708.5,714.1,726.2,731.9,742.1,754.5,748.9,747.7,761.6,754.5,772.1,789.8,777.7,781.9,780.5,792.6,781.7,799.6,798.5,807.8,813.4,811.4,823.1,800.5,783.6,0.20027891212131,3.187546330615265
"Services professionnels, scientifiques et techniques",1942500.0,1573.5,1563.8,1567.5,1562.1,1558.5,1566.7,1485.5,1498.9,1522.8,1557.2,1575.4,1572.1,1614.7,1602.9,1625.0,1643.4,1632.4,1631.1,1654.1,1684.3,1721.6,1721.7,1717.8,1695.3,1702.5,1732.7,1733.0,1700.6,1759.5,1757.7,1786.1,1825.4,1856.4,1847.0,1836.5,1814.1,1843.3,1836.7,1852.5,1852.0,1846.2,1854.4,1851.5,1865.9,1876.6,1856.4,1903.9,1879.2,1890.6,1890.7,1932.3,1909.4,1935.1,1916.9,1942.5,1957.1,1963.5,1967.0,1956.1,1942.5,4.303493809053216,3.372630950604383
Ensemble des industries,20647200.0,19285.6,19169.6,19148.4,18869.4,18925.7,17786.9,15922.1,16548.8,17774.6,18062.5,18274.7,18572.0,18661.6,18635.2,18491.5,17995.3,18335.5,18593.5,18494.5,18779.6,19227.2,19211.7,19217.1,19272.2,19342.3,19421.4,19416.7,18912.7,19350.0,19395.6,19522.6,19960.9,20053.5,19960.3,19878.7,19755.6,19864.7,19836.4,19824.6,19699.2,19776.6,19848.6,19942.5,20333.6,20518.0,20397.5,20373.1,20280.4,20337.0,20306.8,20237.8,20040.7,20155.8,20194.8,20373.4,20718.4,20845.0,20716.4,20691.6,20647.2,1.373770963633203,6.0175154306938765
