Sector,emp0,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,emp22,emp23,emp24,emp25,emp26,emp27,emp28,emp29,emp30,emp31,emp32,emp33,emp34,emp35,emp36,emp37,emp38,emp39,emp40,emp41,emp42,emp43,emp44,emp45,emp46,emp47,emp48,emp49,emp50,emp51,emp52,emp53,emp54,emp55,emp56,emp57,emp58,emp59,emp60,Employment,suffix,Unemployment_Rate
"Total, all industries",7114200,7160000,7146400,6994600,7020200,7025100,7085000,7222800,7303400,7329300,7239500,7178600,7201400,7242200,7237900,7164400,7212600,7178000,7277600,7437700,7481400,7438200,7497600,7456900,7446200,7461800,7470700,7379400,7394800,6965500,6356900,6411400,6832100,6951300,7077900,7181300,7214100,7255200,7239900,6981900,7100300,7234700,7154400,7244900,7420900,7451800,7502900,7500400,7539300,7618200,7647700,7387100,7589300,7595200,7672400,7806700,7828400,7773800,7751400,7627000,7685800,7685800,,5.1744561
Digital Economy,763100,780800.06,780100,800600,795300,778200,796900,800300.06,811699.94,815000,786800,772900,769700.06,798800.06,788300,791200,799800,764399.94,772300,807100,824000,841000,840000,839100,855400,845600,867200,881500,851100,840000,806199.94,809000,849900,898899.94,897100,883300.06,898100,914299.94,900600,929500,902600,929800.06,906000,938500,989600,996800.06,1025900,1047900,1039600,1053200,1001300.1,1004400,996000,1004200,1026899.9,1025900,1063200,1039900,1059900,1030000,1004600,1004600,,3.3666794
Health care and social assistance,852400,844200,832000,825800,835800,828300,828200,826900,839200,860500,858500,844700,854900,861000,869000,875700,875800,868000,869700,891700,902500,912700,927100,928200,915700,916500,922000,912300,913300,853900,820000,811500,845400,870400,887600,881400,881400,878800,883800,895100,897700,906500,899100,915900,931800,939900,935000,929700,911600,934700,927900,924400,936100,939500,927100,930300,922800,932600,933300,919900,925200,925200,,2.2297368
Educational services,499900,515700,523900.03,517900.03,526800,508200,523000,520800,520000,456300,441000,530600,545700,548600,559900,556800,565500,550000,560100,547200,552100,452900,444300,548300,565400,568000,579300,568500,570400,523500,503700,476300,489300,410000,435600,544500,551300,551100,565400,549400,572600,578300,537000,533100,537300,453900,465300,574900,579900,576400,596900,571900,584200,556500,583300,591500,586300,474200,459300,575400,599700,599700,,1.6885246
Construction,550800,545300,525400,488300,488200,500300,492800,524200,551200,559200,556600,559900,555100,549000,530700,487600,506100,498500,517700,542200,549000,563600,570300,574400,567600,556000,546800,522000,529900,517300,437200,458200,515900.03,534800,522500,524099.97,530500,547800,537200,500400,498000,506400,516800,524700,547400,546200,561000,555900,550200,557300,543200,535000,550900,560400,575500,579500,601300,614900,612000,599600,592100,592100,,2.6791584
Public administration,368200,364900,358800,350600,350400,355300,359900,362200,358300,363300,357000,359700,361200,357700,346700,352000,361800,366000,364200,372900,375200,385200,390600,379200,379700,373600,376200,378100,387000,384200,373700,380800,378700,387200,390900,386400,374900,376200,383400,382100,383800,383000,397500,401800,419000,418000,419800,423000,408500,415300,415700,412100,410100,411100,418400,434700,442300,448300,450900,436000,441000,441000,,1.3202058
Wholesale and retail trade,1056200,1094500,1108900,1059600,1047000,1054100,1046300.1,1057200,1054500,1078500,1062700,1045600,1055700,1075900,1073600,1062400,1068500,1076400,1088000,1089900,1075400,1082400,1100900,1084500,1084200,1094000,1102300,1085800,1089400,1013500,870100,882900,993200,1051700,1059900,1015700,1063400,1079800,1078800,973200,1002500,1074000,1024900,1007200,1059600,1087900,1094600,1064400,1117400,1149900,1173800,1124500,1132100,1135800,1120200,1144300,1124400,1117200,1124400,1089100,1088000,1088000,,3.3919375
Finance and insurance,395200,402300,406500,409500,402700,395800,417100,414400,424600,422300,417800,420400,426900,422600,419400,416100,428000,419600,421400,410200,411700,404600,424300,421400,424600,444900,445800,451300,455400,454800,466800,454600,451400,458100,452900,451200,441300,458600,468300,479900,466500,463100,474000,467600,451600,456200,443600,451800,455100,462800,464300,463400,466900,484400,494000,497500,491100,494300,493100,480800,479200,479200,,2.2439821
Information and communication technologies,386000,385200,381800,401300,393500,382000,396600,406200,418100,416300,389300,379600,368700,392900,372200,374200,386100,372000,386800,387200,404900,407600,425200,399300,426900,422300,425800,444600,418300,439200,427900,409300,435000,453300,459600,446100,477100,469900,471400,468300,462700,490900,448700,462600,499600,483700,499700,530300,540500,538500,489000,494500,492200,499700,485300,497300,516500,502700,527400,512400.03,505000,505000,,4.319818
Accommodation and food services,443600,454200,444300,444700,454500,457300,463900,480000,482600,486000,475000,445200,441900,449000,444200,438600,431400,431300,443500,453200,460200,464800,466200,449400,445300,450700,451600,443300,428600,321400,224500,244700,291200,311900,346300,379400,373700,356900,336500,281200,314200,325500,304700,331900,352800,379600,425300,390300,395700,386300,387900,311000,380200,378300,389100,412900,410500,411100,396800,376200,392200,392200,,5.0133204
